MY_OPTIMIZER seed: 0
  f1 in 2-D, instance 1: FEs=40, fbest-ftarget=1.4072e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 2: FEs=40, fbest-ftarget=1.6601e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 3: FEs=40, fbest-ftarget=1.4829e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 4: FEs=40, fbest-ftarget=5.0007e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 5: FEs=40, fbest-ftarget=4.3285e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 6: FEs=40, fbest-ftarget=2.6103e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 7: FEs=40, fbest-ftarget=8.9051e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 8: FEs=40, fbest-ftarget=8.5010e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 9: FEs=40, fbest-ftarget=9.6036e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2382e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 11: FEs=40, fbest-ftarget=5.0757e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 12: FEs=40, fbest-ftarget=1.1161e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 13: FEs=40, fbest-ftarget=2.9877e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 14: FEs=40, fbest-ftarget=5.7912e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 15: FEs=40, fbest-ftarget=5.5292e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:20 2010
  f2 in 2-D, instance 1: FEs=40, fbest-ftarget=1.2234e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 2: FEs=40, fbest-ftarget=4.0698e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 3: FEs=40, fbest-ftarget=3.0399e+05, elapsed time [h]: 0.00
  f2 in 2-D, instance 4: FEs=40, fbest-ftarget=6.0942e+01, elapsed time [h]: 0.00
  f2 in 2-D, instance 5: FEs=40, fbest-ftarget=2.8630e+05, elapsed time [h]: 0.00
  f2 in 2-D, instance 6: FEs=40, fbest-ftarget=1.9167e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 7: FEs=40, fbest-ftarget=6.7166e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 8: FEs=40, fbest-ftarget=2.4972e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 9: FEs=40, fbest-ftarget=2.5540e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 10: FEs=40, fbest-ftarget=1.8229e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 11: FEs=40, fbest-ftarget=1.2805e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 12: FEs=40, fbest-ftarget=1.6057e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 13: FEs=40, fbest-ftarget=4.4217e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 14: FEs=40, fbest-ftarget=1.1139e+05, elapsed time [h]: 0.00
  f2 in 2-D, instance 15: FEs=40, fbest-ftarget=9.6871e+03, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:21 2010
  f3 in 2-D, instance 1: FEs=40, fbest-ftarget=1.9366e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 2: FEs=40, fbest-ftarget=1.3465e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 3: FEs=40, fbest-ftarget=1.0863e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 4: FEs=40, fbest-ftarget=1.5128e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 5: FEs=40, fbest-ftarget=1.1678e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 6: FEs=40, fbest-ftarget=1.0268e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 7: FEs=40, fbest-ftarget=9.2503e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 8: FEs=40, fbest-ftarget=2.8832e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 9: FEs=40, fbest-ftarget=7.9860e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 10: FEs=40, fbest-ftarget=1.4790e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 11: FEs=40, fbest-ftarget=6.2854e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 12: FEs=40, fbest-ftarget=1.3967e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 13: FEs=40, fbest-ftarget=8.6791e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 14: FEs=40, fbest-ftarget=1.9742e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 15: FEs=40, fbest-ftarget=1.6244e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:21 2010
  f4 in 2-D, instance 1: FEs=40, fbest-ftarget=2.3042e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 2: FEs=40, fbest-ftarget=1.0684e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 3: FEs=40, fbest-ftarget=2.5049e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 4: FEs=40, fbest-ftarget=2.1573e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 5: FEs=40, fbest-ftarget=1.5482e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 6: FEs=40, fbest-ftarget=2.0283e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 7: FEs=40, fbest-ftarget=1.9183e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 8: FEs=40, fbest-ftarget=1.9386e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 9: FEs=40, fbest-ftarget=1.6126e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 10: FEs=40, fbest-ftarget=1.3185e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 11: FEs=40, fbest-ftarget=6.0572e+00, elapsed time [h]: 0.00
  f4 in 2-D, instance 12: FEs=40, fbest-ftarget=2.2097e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 13: FEs=40, fbest-ftarget=2.2506e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 14: FEs=40, fbest-ftarget=1.8247e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 15: FEs=40, fbest-ftarget=2.6675e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:22 2010
  f5 in 2-D, instance 1: FEs=40, fbest-ftarget=9.7349e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 2: FEs=40, fbest-ftarget=2.2808e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 3: FEs=40, fbest-ftarget=5.4402e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 4: FEs=40, fbest-ftarget=7.1851e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 5: FEs=40, fbest-ftarget=4.8162e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 6: FEs=40, fbest-ftarget=3.2195e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 7: FEs=40, fbest-ftarget=7.6851e+00, elapsed time [h]: 0.00
