MY_OPTIMIZER seed: 0
seed for the noise set to: 30
  f101 in 2-D, instance 1: FEs=40, fbest-ftarget=1.4072e+00, elapsed time [h]: 0.00
  f101 in 2-D, instance 2: FEs=40, fbest-ftarget=1.6601e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 3: FEs=40, fbest-ftarget=1.4829e+00, elapsed time [h]: 0.00
  f101 in 2-D, instance 4: FEs=40, fbest-ftarget=5.0007e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 5: FEs=40, fbest-ftarget=4.3285e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 6: FEs=40, fbest-ftarget=2.6103e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 7: FEs=40, fbest-ftarget=8.9051e-02, elapsed time [h]: 0.00
  f101 in 2-D, instance 8: FEs=40, fbest-ftarget=8.5010e-02, elapsed time [h]: 0.00
  f101 in 2-D, instance 9: FEs=40, fbest-ftarget=9.6036e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2382e+00, elapsed time [h]: 0.00
  f101 in 2-D, instance 11: FEs=40, fbest-ftarget=5.0757e-02, elapsed time [h]: 0.00
  f101 in 2-D, instance 12: FEs=40, fbest-ftarget=1.1161e+00, elapsed time [h]: 0.00
  f101 in 2-D, instance 13: FEs=40, fbest-ftarget=2.9877e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 14: FEs=40, fbest-ftarget=5.7912e-01, elapsed time [h]: 0.00
  f101 in 2-D, instance 15: FEs=40, fbest-ftarget=5.5292e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:50 2010
  f102 in 2-D, instance 1: FEs=40, fbest-ftarget=3.9228e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 2: FEs=40, fbest-ftarget=2.1048e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 3: FEs=40, fbest-ftarget=7.3674e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 4: FEs=40, fbest-ftarget=7.6161e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 5: FEs=40, fbest-ftarget=4.1236e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 6: FEs=40, fbest-ftarget=1.3761e+00, elapsed time [h]: 0.00
  f102 in 2-D, instance 7: FEs=40, fbest-ftarget=5.3027e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 8: FEs=40, fbest-ftarget=2.6676e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 9: FEs=40, fbest-ftarget=1.2838e+00, elapsed time [h]: 0.00
  f102 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2950e+00, elapsed time [h]: 0.00
  f102 in 2-D, instance 11: FEs=40, fbest-ftarget=1.9762e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 12: FEs=40, fbest-ftarget=1.3542e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 13: FEs=40, fbest-ftarget=2.2832e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 14: FEs=40, fbest-ftarget=2.1231e-01, elapsed time [h]: 0.00
  f102 in 2-D, instance 15: FEs=40, fbest-ftarget=5.6024e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:51 2010
  f103 in 2-D, instance 1: FEs=40, fbest-ftarget=1.5845e+00, elapsed time [h]: 0.00
  f103 in 2-D, instance 2: FEs=40, fbest-ftarget=2.1460e+00, elapsed time [h]: 0.00
  f103 in 2-D, instance 3: FEs=40, fbest-ftarget=9.7905e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 4: FEs=40, fbest-ftarget=2.7282e+00, elapsed time [h]: 0.00
  f103 in 2-D, instance 5: FEs=40, fbest-ftarget=2.6367e+00, elapsed time [h]: 0.00
  f103 in 2-D, instance 6: FEs=40, fbest-ftarget=7.6573e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 7: FEs=40, fbest-ftarget=1.9313e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 8: FEs=40, fbest-ftarget=2.2357e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 9: FEs=40, fbest-ftarget=1.1515e+00, elapsed time [h]: 0.00
  f103 in 2-D, instance 10: FEs=40, fbest-ftarget=1.6713e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 11: FEs=40, fbest-ftarget=1.4127e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 12: FEs=40, fbest-ftarget=5.3166e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 13: FEs=40, fbest-ftarget=6.4701e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 14: FEs=40, fbest-ftarget=7.5712e-01, elapsed time [h]: 0.00
  f103 in 2-D, instance 15: FEs=40, fbest-ftarget=2.0507e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:51 2010
  f104 in 2-D, instance 1: FEs=40, fbest-ftarget=5.5152e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 2: FEs=40, fbest-ftarget=2.7508e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 3: FEs=40, fbest-ftarget=1.3655e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 4: FEs=40, fbest-ftarget=8.5132e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 5: FEs=40, fbest-ftarget=1.2452e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 6: FEs=40, fbest-ftarget=2.3158e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 7: FEs=40, fbest-ftarget=5.0614e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 8: FEs=40, fbest-ftarget=8.0646e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 9: FEs=40, fbest-ftarget=9.5085e-01, elapsed time [h]: 0.00
  f104 in 2-D, instance 10: FEs=40, fbest-ftarget=2.6419e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 11: FEs=40, fbest-ftarget=7.0911e+01, elapsed time [h]: 0.00
  f104 in 2-D, instance 12: FEs=40, fbest-ftarget=6.4859e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 13: FEs=40, fbest-ftarget=4.9229e+00, elapsed time [h]: 0.00
  f104 in 2-D, instance 14: FEs=40, fbest-ftarget=2.8264e-01, elapsed time [h]: 0.00
  f104 in 2-D, instance 15: FEs=40, fbest-ftarget=1.9067e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:52 2010
  f105 in 2-D, instance 1: FEs=40, fbest-ftarget=2.3179e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 2: FEs=40, fbest-ftarget=9.5430e+01, elapsed time [h]: 0.00
  f105 in 2-D, instance 3: FEs=40, fbest-ftarget=3.4570e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 4: FEs=40, fbest-ftarget=7.3122e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 5: FEs=40, fbest-ftarget=2.8926e+01, elapsed time [h]: 0.00
  f105 in 2-D, instance 6: FEs=40, fbest-ftarget=4.5066e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 7: FEs=40, fbest-ftarget=1.3970e+01, elapsed time [h]: 0.00
  f105 in 2-D, instance 8: FEs=40, fbest-ftarget=3.9824e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 9: FEs=40, fbest-ftarget=2.0302e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 10: FEs=40, fbest-ftarget=5.8961e-01, elapsed time [h]: 0.00
  f105 in 2-D, instance 11: FEs=40, fbest-ftarget=7.2507e-01, elapsed time [h]: 0.00
  f105 in 2-D, instance 12: FEs=40, fbest-ftarget=1.0173e+01, elapsed time [h]: 0.00
  f105 in 2-D, instance 13: FEs=40, fbest-ftarget=9.2417e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 14: FEs=40, fbest-ftarget=9.0024e+00, elapsed time [h]: 0.00
  f105 in 2-D, instance 15: FEs=40, fbest-ftarget=3.8302e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:52 2010
  f106 in 2-D, instance 1: FEs=40, fbest-ftarget=5.9942e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 2: FEs=40, fbest-ftarget=2.5069e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 3: FEs=40, fbest-ftarget=9.5724e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 4: FEs=40, fbest-ftarget=5.7961e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 5: FEs=40, fbest-ftarget=2.6030e-01, elapsed time [h]: 0.00
  f106 in 2-D, instance 6: FEs=40, fbest-ftarget=1.5536e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 7: FEs=40, fbest-ftarget=2.4579e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 8: FEs=40, fbest-ftarget=2.6858e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 9: FEs=40, fbest-ftarget=6.1935e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 10: FEs=40, fbest-ftarget=1.2616e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 11: FEs=40, fbest-ftarget=9.5203e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 12: FEs=40, fbest-ftarget=4.5294e+00, elapsed time [h]: 0.00
  f106 in 2-D, instance 13: FEs=40, fbest-ftarget=3.3990e-01, elapsed time [h]: 0.00
  f106 in 2-D, instance 14: FEs=40, fbest-ftarget=1.0383e+01, elapsed time [h]: 0.00
  f106 in 2-D, instance 15: FEs=40, fbest-ftarget=1.0877e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:53 2010
  f107 in 2-D, instance 1: FEs=40, fbest-ftarget=1.2690e-01, elapsed time [h]: 0.00
  f107 in 2-D, instance 2: FEs=40, fbest-ftarget=1.2092e+00, elapsed time [h]: 0.00
